place_number;booking_weezpay_account;stall_name;drink_categories;food_types
198.01;2316-002;L'Epis Taff;min?rales, vins, bi?res, liquoreux, cocktails;Tartares
648.18;2288-003;Stand de Marc Schneider;min?rales;Gaufre
792.01;2146-002;Stand de Nguyen Thanh-Lam;min?rales, bi?res;Sp?cialit?s Asiatiques
045.22;2072-002;Wok Viet Tha?;;Sp?cialit?s Asiatiques
657.09;2111-002;Attitude Concept Store S?rl;min?rales, vins, bi?res, cocktails;
387.15;2065-002;Stand de Laurent Boschung;;Confiserie, Cr?pes, Sandwich
744.06;2335-003;Stand Argentine;min?rales, bi?res;Sp?cialit?s Am?rique latine
648.25;2102-002;Stand de Souady Abdelali;min?rales, bi?res, liquoreux, cocktails;
384.18;2181-002;Neuch?tel Sport Rugby Club;min?rales, vins, bi?res, liquoreux, cocktails;
198.09;2029-002;Gaberel;min?rales, vins, bi?res, cocktails;Steak vigneron, Tartares
303.01;2385-002;Stand de FLORIDITA;min?rales, vins, bi?res;
780.06;2142-002;Association des Vieux Scouts;min?rales, vins, bi?res, liquoreux, cocktails;Croques-monsieur, planchettes neuch?teloises
378.01;2163-002;Stand de Bacouet Elian;min?rales, vins, bi?res, liquoreux;Burgers, Fondue au fromage, Grillades, Raclette, Steak vigneron
387.16;2166-002;Stand de Bianchi Giuseppe;min?rales, vins, bi?res, liquoreux, cocktails;
387.18;2166-003;Stand Bianchi Giuseppe;min?rales, vins, bi?res, liquoreux, cocktails;Burgers, Grillades, Sandwich, Steak vigneron
744.04;2125-003;Stand de Tran Ha;;Sp?cialit?s Asiatiques
726.23;2275-002;POULET SECRET;;Burgers, POULET FRITE
537.32;2350-002;Stand de J?r?my Billieux;min?rales, vins, bi?res, liquoreux, cocktails;Planchettes (saucisse s?che NE, tome NE, oignons, cornichons, pain NE)
516.02;2218-002;Terrasse du Cardinal;;
648.20;2243-002;Milan swiss;;bonbons,barbe ? papa
657.11;2243-003;MILAN SWISS CHURROS;;Churros
744.22;2298-002;Vert'lib?raux neuch?telois;min?rales, vins, bi?res, liquoreux, ABSINTHE;
444.01;2067-002;Stand de Bersac Gregory;vins, bi?res;
537.15;2459-002;Stand de droguistes.fdv2023;min?rales, vins, bi?res, liquoreux, cocktails;
384.04;2286-002;Stand de Neuch Cycling friends;min?rales, vins, bi?res, liquoreux, cocktails;Planchette
045.20;2263-002;Stand de Liqueur Beir?o;liquoreux, cocktails;
537.14;2303-002;Stand de Gregory Jacquot;;Churros, hot dog
384.05;2177-002;Jean-Marc Gueguen;min?rales, vins, bi?res, liquoreux, cocktails;
648.23;2098-002;Stand DELICIOUS AVENUE;;Churros, Cr?pes, gaufres
276.08;2044-002;Stand de Kha Hai;min?rales;Sp?cialit?s Asiatiques
732.10;2119-002;La Jeunesse Rurale Neuch?teloise;min?rales, vins, bi?res, liquoreux, cocktails;
648.08;2090-002;D?lice Kebab;;Kebab, frites, hot dog, falafel
387.08;2066-002;Table Ronde N?6;min?rales, vins, bi?res, liquoreux;Pizza
537.01;2069-002;Rossignol des Gorges Boudry (soci?t? d'accord?onistes);min?rales, vins, bi?res;Soupe aux pois
045.04;2015-002;Stand de Brasserie des Mines;min?rales, bi?res, cocktails;
384.24;2346-002;Curling Neuch?tel-Sports;min?rales, vins, bi?res, liquoreux, cocktails;bretzel nature
648.17;2094-002;Stand de Trac Tran Ngoc Phuong;;Sp?cialit?s Asiatiques
384.10;2165-002;Stand de Maye S?bastien;min?rales, vins, bi?res;Grillades, Sandwich, Planchette, assiettes froides, terrines, assiettes chaudes (magret de canard, foie gras, filet de boeuf, caille, desserts)
198.04;2255-002;Stand du Club Alpin;min?rales, vins, bi?res;Soupe aux pois, Planchettes ap?ro
792.02;2147-002;Stand de Van Hecke Kris;;Gaufres
384.07;2053-002;El Porronpompero;min?rales, vins, bi?res, liquoreux, cocktails;
657.14;2287-002;JC's Gourmet Hot Dogs;;Gourmet Hot Dogs
744.34;2239-002;Stand de Singh Prince Pal;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Asiatiques
201.03;2037-002;RiderFamily;min?rales, vins, bi?res;Pizza
045.26;2239-003;singh sukhwinder;min?rales, vins, bi?res, liquoreux, cocktails;
384.13;2187-002;Service compris;min?rales, vins, bi?res, liquoreux;Planchette du terroir : saucisse s?che et gruy?re
198.05;2157-002;Canard Gourmand;min?rales, vins, bi?res;Sandwich, Sandwich de Foie gras po?l?, sauce aux truffes
744.12;2480-002;BARBECUEBAR;min?rales, vins, bi?res;Grillades, POMME-FRITES
384.22;2182-002;Stand du Volley;min?rales, vins, bi?res, liquoreux, cocktails;Plateau ap?ritif, hot-dog, autres petits encas
795.09;2271-002;Stand de La Turquoise;min?rales, vins, bi?res;Kebab, Kebab et Frites
387.09;2060-002;Stand Istanbul Kebab;min?rales;Kebab, Sp?cialit?s Orientales
198.12;2250-002;Stand de Yonten Tratsang;min?rales, vins, bi?res;Sp?cialit?s Asiatiques,Momo tib?tain
045.01;2269-002;Stand de Neuch?tel Xamax 1912;min?rales, vins, bi?res, liquoreux, cocktails;Ramequin au fromage
384.06;2052-002;Stand de Br?nnimann Beat;min?rales, vins, bi?res;Brochettes, Pommes, Cheese-Weel, Burrito, Saucisse , Sch?blig
384.09;2055-002;Boucherie Margot;;Burgers, Grillades, Frites
384.11;2453-002;Club des lutteurs du Vignoble;min?rales, vins, bi?res, liquoreux;
537.22;2399-002;Stand de Ngawang Chopatsang;min?rales, vins, bi?res;corn dog, Momo, chicken karaage , Tin tin fish
648.24;2320-002;Stand de Eleonora Van Gool;min?rales, vins, bi?res;Burgers, Cr?pes, P?tes, Pizza, Steak vigneron, Hot-dog, frites
648.11;2170-002;Stand de Wenger Tupan Anita;min?rales;Churros, Confiserie, Cr?pes
648.07;2373-002;Stand de Au metro;min?rales, vins;
201.04;2038-002;Denibenevent Abako;min?rales, vins, bi?res;Poissons, Sp?cialit?s Africaines
378.03;2195-002;Stand de Christian Di Marco;;
657.18;2112-002;Stand de Bui Van Duong;min?rales, vins, bi?res;Sp?cialit?s Asiatiques
744.07;2126-002;The Jungle Kitchen;;Grillades, Sp?cialit?s Africaines
276.04;2043-002;Stand de Fontaine S?bastien;min?rales, vins, bi?res, liquoreux;Burgers, Sandwich
384.16;2057-002;Association musicale Neuch?tel St-Blaise;min?rales, vins, bi?res;Confiserie, Steak vigneron
201.10;2194-002;Terrasse du Bar de l'Univers;;
045.10;2276-002;Sales Gosses;min?rales, vins, bi?res, liquoreux, cocktails;planchettes ap?ro
780.17;2145-002;CABANE DU FAYLYS;min?rales, vins, bi?res, liquoreux, cocktails;Burgers, Grillades, Steak vigneron, Frites
726.08;2236-002;Stand de Cindy Righetti;;
045.18;2174-002;Stand de Zupan Sandi (Bassin);min?rales;Burgers, Cr?pes, Sp?cialit?s Am?rique latine, Tex-Mex
297.03;2215-002;Stand de La Cantine du Neubourg;;
744.02;2161-003;Stand de Restaurant Maharajah/Younas Butt;min?rales, vins, bi?res;Kebab, Sp?cialit?s indo-pakistanaises
387.10;2059-002;Stand de Selver Ogiz;;Grillades, Saucisse grill?e, poulet grill?, hot-dog, frite, cevap
537.12;2413-002;Stand de Tamara;min?rales, bi?res, liquoreux;
384.20;2262-004;Stand des Jeunes Lib?raux-Radicaux Neuch?telois;min?rales, vins, bi?res, cocktails;
780.10;2253-003;La Bonne Binche;min?rales, vins, bi?res, liquoreux, cocktails;
780.07;2143-002;Stand de HC UNIVERSITE NEUCHATEL;min?rales, vins, bi?res, liquoreux, cocktails;Frites
384.02;2428-002;Gym La Coudre;min?rales, vins, bi?res;Ramequins & planches-ap?ro
537.02;2070-002;Stand de Nesenshon Christian;;Churros, Cr?pes
384.28;2179-002;Stand du Ski Extr?me;min?rales, vins, bi?res, liquoreux, cocktails;
648.22;2272-002;Stand de Wetzel Frank;;Confiserie, Cr?pes, Granita barbapapa popcorn
347.01;2048-002;Stand de Faivre Pierre;min?rales, vins, bi?res, cocktails;Poissons, Tartares
387.04;2058-002;Maison du Concert;min?rales, vins, bi?res, liquoreux, cocktails;
198.02;2156-002;Monsieur Hot-Dog;min?rales, bi?res;Burgers, hot-dog
726.01;2366-002;Empanadas;;Sp?cialit?s Am?rique latine
378.05;2206-002;Bar de la place Fernando Dos Santos;;
795.03;2152-002;Stand Association Machu Picchu;min?rales, vins, bi?res, cocktails;Sp?cialit?s Am?rique latine, Tamales, Empanadas, Ceviche
387.12;2061-002;Pizza au feu de bois;;Pizza
648.16;2095-002;Stand de Mongelluzzo Giuseppe;;Burgers, Grillades, Poissons, Sandwich, Saucisses, frites, hot dog, nuggets, sandwichs chauds
384.01;2164-002;La Gaufre Haddock;;Cr?pes, gaufres
780.04;2140-002;Pineapple Oasis;min?rales, vins, bi?res, liquoreux, cocktails;Croques-Monsieur
537.20;2075-002;Stand de Tran David;;Sp?cialit?s Asiatiques
351.02;2180-002;Ski Nautique Club de Neuch?tel;min?rales, vins, bi?res, liquoreux, cocktails;Raclette
744.16;2174-003;Stand de Zupan Sandi (Seyon);min?rales;
201.05;2159-002;PAPRIKA;;
648.03;2169-002;Stand de Zupan Robert;min?rales, bi?res;Burgers, Confiserie
045.02;2014-003;Stand du Saloon;min?rales, vins, bi?res, liquoreux, cocktails;
201.06;2159-004;PAPRIKA BAR;min?rales, vins, bi?res;
648.10;2169-003;Stand de Zupan Robert;min?rales, bi?res;Burgers
201.08;2159-005;PAPRIKA BAR - Salle ? manger;;
648.14;2169-004;Stand de Zupan Robert;min?rales, bi?res;Burgers, Grillades
